Windows C++ | C++ Standard
------------- | -------------
ATOM | unsigned short 
BOOL | int 
BOOLEAN | unsigned char 
BYTE | unsigned char 
CCHAR | char 
CHAR | char 
COLORREF | unsigned long 
CONST | const 
DWORD | unsigned long 
DWORD32 | unsigned int 
FLOAT | float 
HACCEL | void* 
HANDLE | void* 
HBITMAP | void* 
HBRUSH | void* 
HCOLORSPACE | void* 
HCONV | void* 
HCONVLIST | void* 
HCURSOR | void* 
HDC | void* 
HDDEDATA | void* 
HDESK | void* 
HDROP | void* 
HDWP | void* 
HENHMETAFILE | void* 
HFILE | int 
HFONT | void* 
HGDIOBJ | void* 
HGLOBAL | void* 
HHOOK | void* 
HICON | void* 
HINSTANCE | void* 
HKEY | void* 
HKL | void* 
HLOCAL | void* 
HMENU | void* 
HMETAFILE | void* 
HMODULE | void* 
HPALETTE | void* 
HPEN | void* 
HRESULT | long 
HRGN | void* 
HRSRC | void* 
HSZ | void* 
HWINSTA | void* 
HWND | void* 
INT | int 
INT16 | signed short 
INT32 | signed int 
INT8 | signed char 
LANGID | unsigned short 
LCID | unsigned long 
LCTYPE | unsigned long 
LGRPID | unsigned long 
LONG | long 
LONG32 | signed int 
LPCOLORREF | unsigned long* 
LPCVOID | const void* 
LPDWORD | unsigned long 
LPHANDLE | void** 
LPINT | int* 
LPLONG | long* 
LPSTR | char* 
LPVOID | void* 
LPWORD | unsigned short* 
PBOOL | int* 
PBOOLEAN | unsigned char* 
PBYTE | unsigned char* 
PCHAR | char* 
PCSTR | const char* 
PDWORD | unsigned long* 
PDWORD32 | unsigned int* 
PFLOAT | float* 
PHANDLE | void** 
PHKEY | void* 
PINT | int* 
PINT16 | signed short* 
PINT32 | signed int* 
PINT8 | signed char* 
PLCID | unsigned long* 
PLONG | long* 
PSHORT | short* 
PSTR | char 
PUCHAR | unsigned char* 
PUINT | unsigned int* 
PUINT16 | unsigned short* 
PUINT32 | unsigned int* 
PUINT8 | unsigned char* 
PULONG | unsigned long* 
PULONG32 | unsigned int* 
PUSHORT | unsigned short* 
PVOID | void* 
PWORD | unsigned short 
SC_HANDLE | void* 
SC_LOCK | void* 
SERVICE_STATUS_HANDLE | void* 
SHORT | short 
typedef | INT_PTR *PINT_PTR; 
UCHAR | unsigned char 
UINT | unsigned int 
UINT16 | unsigned short 
UINT32 | unsigned int 
UINT8 | unsigned char 
ULONG | unsigned long 
ULONG32 | unsigned int 
USHORT | unsigned short 
VOID | void 
WORD | unsigned short 
